"SEX"	"mage"	"grp"	"firstmar"	"pct"
1	61	"B"	0	0.5916
1	61	"N"	0	1.0208
1	61	"W"	0	0.4843
1	62	"A"	0	0.2346
1	62	"B"	0	0.47
1	62	"N"	0	0.3287
1	62	"W"	0	0.4158
1	63	"A"	0	0.221
1	63	"B"	0	0.3473
1	63	"N"	0	0.3367
1	63	"W"	0	0.4176
1	64	"A"	0	0.2222
1	64	"B"	0	0.4023
1	64	"N"	0	0.0812
1	64	"W"	0	0.3514
1	65	"A"	0	0.076
1	65	"B"	0	0.3821
1	65	"N"	0	0.7746
1	65	"W"	0	0.3303
1	66	"A"	0	0.1123
1	66	"B"	0	0.2856
1	66	"N"	0	0.342
1	66	"W"	0	0.2901
1	67	"A"	0	0.0426
1	67	"B"	0	0.2284
1	67	"N"	0	0.1797
1	67	"W"	0	0.2928
1	68	"A"	0	0.0882
1	68	"B"	0	0.1717
1	68	"N"	0	0.0639
1	68	"W"	0	0.2027
1	69	"A"	0	0.0379
1	69	"B"	0	0.1779
1	69	"N"	0	0.3394
1	69	"W"	0	0.172
1	70	"A"	0	0.0937
1	70	"B"	0	0.1582
1	70	"N"	0	0.201
1	70	"W"	0	0.1894
1	71	"A"	0	0.1075
1	71	"B"	0	0.121
1	71	"N"	0	0.1131
1	71	"W"	0	0.1429
1	72	"A"	0	0.0493
1	72	"B"	0	0.1193
1	72	"W"	0	0.1452
1	73	"A"	0	0.0586
1	73	"B"	0	0.1245
1	73	"W"	0	0.1267
1	74	"A"	0	0.0161
1	74	"B"	0	0.0757
1	74	"N"	0	0.2369
1	74	"W"	0	0.1317
1	75	"B"	0	0.0915
1	75	"W"	0	0.1039
1	76	"A"	0	0.0522
1	76	"B"	0	0.0627
1	76	"W"	0	0.099
1	77	"A"	0	0.0276
1	77	"B"	0	0.0839
1	77	"W"	0	0.086
1	78	"A"	0	0.0272
1	78	"B"	0	0.0207
1	78	"N"	0	0.1637
1	78	"W"	0	0.084
1	79	"A"	0	0.0127
1	79	"B"	0	0.0391
1	79	"N"	0	0.0732
1	79	"W"	0	0.0495
1	80	"A"	0	0.0197
1	80	"B"	0	0.0409
1	80	"W"	0	0.0664
1	81	"N"	0	0.2755
1	81	"W"	0	0.0656
1	82	"B"	0	0.0249
1	82	"W"	0	0.05
1	83	"A"	0	0.0558
1	83	"B"	0	0.0416
1	83	"W"	0	0.0522
1	84	"A"	0	0.0366
1	84	"B"	0	0.0054
1	84	"W"	0	0.0422
1	85	"B"	0	0.0039
1	85	"W"	0	0.0334
1	86	"B"	0	0.0132
1	86	"W"	0	0.0234
1	87	"W"	0	0.0079
1	88	"A"	0	0.0113
1	88	"B"	0	0.0178
1	88	"W"	0	0.0104
1	89	"A"	0	0.0131
1	89	"B"	0	0.0047
1	89	"N"	0	0.0399
1	89	"W"	0	0.006
1	90	"W"	0	0.0156
1	91	"W"	0	0.0097
1	92	"W"	0	0.0107
1	93	"W"	0	0.0096
1	94	"W"	0	0.0066
